79A1D0,79A670,79A690,79A770,hornedBeetle,entitySprites/animals,entity
79A770,79AC10,79AC30,79AD10,stagBeetle,entitySprites/animals,entity
79AD10,79B080,79B0A0,79B180,cricket,entitySprites/animals,entity
79B180,79B580,79B5A0,79B8B0,cicada,entitySprites/animals,entity
79B8B0,79BBD0,79BBF0,79BCD0,whiteButterfly,entitySprites/animals,entity
79BCD0,79C150,79C170,79C480,ladybug,entitySprites/animals,entity
79C480,79C6D0,79C6F0,79C7D0,dragonfly,entitySprites/animals,entity
79C7D0,79CB40,79CB60,79CC40,grasshopper,entitySprites/animals,standalone
79CC40,79FA50,79FA70,79FB30,snake,entitySprites/animals,entity
79FB30,7A0590,7A05B0,7A0690,purpleButterfly,entitySprites/animals,standalone
7A0690,7A5930,7A5950,7A5A40,dad,entitySprites/npc,standalone
7A5A40,7DD6C0,7DD6E0,7DD8E0,cowIndoors,entitySprites/animals,entity
7DD8E0,7E99E0,7E9A00,7E9AF0,horseUnbridled,entitySprites/animals,entity
7E9AF0,7F4490,7F44B0,7F46E0,horseRacer,entitySprites/horseRace,standalone
7F4710,7F5FD0,7F5FF0,7F6010,mariaHarrisBaby,entitySprites/npc,entity
7F6010,7F7B20,7F7B40,7F7B60,popuriGrayBaby,entitySprites/npc,entity
7F7B60,7F93F0,7F9410,7F9430,elliJeffBaby,entitySprites/npc,entity
7F9430,7FACC0,7FACE0,7FAD00,annCliffBaby,entitySprites/npc,entity
7FAD00,7FC6D0,7FC6F0,7FC710,karenKaiBaby,entitySprites/npc,entity
7FC710,7FCBE0,7FCC00,shadows,entitySprites,standalone
7FCC00,7FFE30,7FFE50,7FFF30,expressionBubbles,entitySprites,standalone
C94C40,C9D0E0,C9D100,C9D120,waves,mapObjects/beach,standalone
C9D120,CA0850,CA0870,CA0890,mountainWater,mapObjects/mountain,standalone
CA0890,CA3A00,CA3A20,CA3A40,boulder,mapObjects/mountain,standalone
CA3A40,CA4590,CA45B0,CA45D0,bridge,mapObjects/mountain,standalone
CA45D0,CA4A80,CA4AA0,CA4AB0,stonePillar,mapObjects/mountain,standalone
CA4AE0,CA4ED0,CA4EF0,CA4F00,mountainPathTiles,mapObjects/mountain,standalone
CA4F00,CA6FA0,CA6FC0,CA6FE0,steam,mapObjects/mountain,standalone
CA6FE0,CA8270,CA8290,CA82A0,pondWater,mapObjects/pond,standalone
CA82A0,CA8B40,CA8B60,CA8B70,festivalFlowers,mapObjects/square,standalone
CA8B70,CA9AE0,CA9B00,CA9B20,squareFountain,mapObjects/square,standalone
CA9B20,CAAAB0,CAAAD0,CAAAE0,village2Water,mapObjects/village2,standalone
CAAB70,CAADB0,CAADD0,CAADE0,stone,mapObjects/bathroom,standalone
CAADE0,CACF30,CACF50,CACF70,vineyardTree,mapObjects/vineyard,standalone
CACFA0,CAD080,CAD0A0,CAD0B0,farmPond,mapObjects/farm,standalone
CAD0B0,CB47B0,CB47D0,funeralIntro,effects,standalone
CB47D0,CB93C0,CB93E0,moonMountainBackground,effects,standalone
CB93E0,CBE020,CBE040,horseRace,effects,standalone
CBE060,CBF890,CBF8B0,splash,effects,standalone
CBF8B0,CBFCC0,CBFCE0,sparklers,effects,standalone
CBFCE0,CC1650,CC1670,chimneySmoke,effects,standalone
CC1670,CC2110,CC2130,balloons,effects,standalone
CC2130,CC34F0,CC3510,smallCloud,effects,standalone
CC3510,CC40A0,CC40C0,fairies,effects,standalone
CC40C0,CC5730,CC5750,fireflies,effects,standalone
CC5750,CC6080,CC60A0,bulletBlinking,overlayScreens,standalone
CC60A0,CC67C0,CC67E0,bulletNumeral,overlayScreens,standalone
CC67E0,CC8DD0,CC8DF0,checkerboardBackground,overlayScreens,standalone
CC8E30,CCB420,CCB440,namingScreenBackground,overlayScreens,standalone
CCB440,CD0BA0,CD0BC0,book,overlayScreens,standalone
CD0BC0,CD5370,CD5390,photoSmall,overlayScreens,standalone
CD5390,CDA930,CDA950,photoLarge,overlayScreens,standalone
CDA950,CDE010,CDE030,namingScreen1,overlayScreens,standalone
CDE030,CED7C0,CED7E0,calendar,overlayScreens,standalone
CED7E0,CF11D0,CF11F0,calenderJapan,overlayScreens,standalone
CF11F0,CF2D10,CF2D30,bookScreenLabels,overlayScreens,standalone
CF2D30,CF4A00,CF4A20,japaneseCharacterSelect,overlayScreens,standalone
CF4A20,CFF430,CFF450,overlayScreenNames,overlayScreens,standalone
CFF450,D00530,D00550,money,overlayScreens,standalone
D00550,D06630,D06650,powerNutTreeDrawing,overlayScreens,standalone
D06650,D0D470,D0D490,inventoryScreen,overlayScreens,standalone
D0D490,D154E0,D15500,prizeScreen,overlayScreens,standalone
D15500,D1D140,D1D160,loadGameScreen,overlayScreens,standalone
D1D160,D1FA40,D1FA60,messageBox,overlayScreens,standalone
D1FA60,D2F260,D2F280,namingScreen2,overlayScreens,standalone
D2F280,D309F0,D30A10,estimateScreen,overlayScreens,standalone
D30A10,D37CA0,D37CC0,raceBettingUI,overlayScreens,standalone
D37CE0,D3AC70,D3AC90,timeUI,overlayScreens,standalone
D3AC90,D3DFE0,D3E000,houseExtensionSelection,overlayScreens,standalone
D3E000,D3FC60,D3FC80,shopIcons,overlayScreens,standalone
D3FC80,D466B0,D466D0,rankings,overlayScreens,standalone
D466D0,D49020,D49040,guidebook,overlayScreens,standalone
D49040,D4ACC0,D4ACE0,dialogueButtonIcons,overlayScreens,standalone
D4ACE0,D4EB30,D4EB50,D4EBF0,tvContent,overlayScreens,standalone
D4EBF0,D536D0,D536F0,D537B0,tools,overlayScreens,entity
D537B0,D84110,D84130,D846E0,holdableItems,overlayScreens,entity
D846E0,D87E80,D87EA0,D87ED0,extraFestival,overlayScreens,standalone
D87ED0,D8C280,D8C2A0,D8C310,homeItems,overlayScreens,entity
D8C310,D93A90,D93AB0,groundObjects,overlayScreens,standalone
D93AB0,D93E90,D93EB0,rain,overlayScreens,standalone
D93EB0,DBAFE0,DBB000,DBB240,characterAvatars,overlayScreens,avatar
DBB240,DD1F50,DD1F70,titleSprites,overlayScreens,standalone
DD1F70,DD2E40,DD2E60,controllerIcons,overlayScreens,standalone
DD2E60,DD57F0,DD5810,logos,overlayScreens,standalone
DD5810,DE0280,DE02A0,credits,overlayScreens,standalone
DE02A0,E056C0,E056E0,E05760,albumPhotos,overlayScreens,standalone
